city,date,weathers
Pittsburgh,11/15/20,10
Pittsburgh,12/15/20,-1
Providence,1/15/20,7
Providence,2/15/20,-4
Providence,3/15/20,4
Providence,4/15/20,6
Providence,5/15/20,18
Providence,6/15/20,19
Providence,7/15/20,21
Providence,8/15/20,22
Providence,9/15/20,18
Providence,10/15/20,17
Providence,11/15/20,8
Providence,12/15/20,-1
Austin,1/15/20,21
Austin,2/15/20,12
Austin,3/15/20,22
Austin,4/15/20,15
Austin,5/15/20,27
Austin,6/15/20,30
Austin,7/15/20,33
Austin,8/15/20,36
Austin,9/15/20,29
Austin,10/15/20,28
Austin,11/15/20,19
Austin,12/15/20,12
Madison,1/15/20,-5
Madison,2/15/20,-5
Madison,3/15/20,0
Madison,4/15/20,0
Madison,5/15/20,17
Madison,6/15/20,17
Madison,7/15/20,22
Madison,8/15/20,20
Madison,9/15/20,19
Madison,10/15/20,7
Madison,11/15/20,2
Madison,12/15/20,-7
Champaign,1/15/20,6
Champaign,2/15/20,-3
Champaign,3/15/20,4
Champaign,4/15/20,3
Champaign,5/15/20,22
Champaign,6/15/20,18
Champaign,7/15/20,24
Champaign,8/15/20,24
Champaign,9/15/20,18
Champaign,10/15/20,11
Champaign,11/15/20,8
Champaign,12/15/20,-1
Seattle,1/15/20,-4
Seattle,2/15/20,6
Seattle,3/15/20,2
Seattle,4/15/20,15
Seattle,5/15/20,17
Seattle,6/15/20,14
Seattle,7/15/20,23
Seattle,8/15/20,24
Seattle,9/15/20,24
Seattle,10/15/20,13
Seattle,11/15/20,9
Seattle,12/15/20,6
Atlanta,1/15/20,18
Atlanta,2/15/20,7
Atlanta,3/15/20,15
Atlanta,4/15/20,13
Atlanta,5/15/20,23
Atlanta,6/15/20,26
Atlanta,7/15/20,32
Atlanta,8/15/20,30
Atlanta,9/15/20,23
Atlanta,10/15/20,23
Atlanta,11/15/20,17
Atlanta,12/15/20,8
Houston,1/15/20,22
Houston,2/15/20,14
Houston,3/15/20,24
Houston,4/15/20,18
Houston,5/15/20,29
Houston,6/15/20,31
Houston,7/15/20,32
Houston,8/15/20,31
Houston,9/15/20,31
Houston,10/15/20,28
Houston,11/15/20,22
Houston,12/15/20,13
University Park,1/15/20,24
University Park,2/15/20,20
University Park,3/15/20,25
University Park,4/15/20,28
University Park,5/15/20,25
University Park,6/15/20,28
University Park,7/15/20,31
University Park,8/15/20,31
University Park,9/15/20,29
University Park,10/15/20,27
University Park,11/15/20,26
University Park,12/15/20,20
Chapel Hill,1/15/20,15
Chapel Hill,2/15/20,3
Chapel Hill,3/15/20,9
Chapel Hill,4/15/20,7
Chapel Hill,5/15/20,22
Chapel Hill,6/15/20,16
Chapel Hill,7/15/20,30
Chapel Hill,8/15/20,27
Chapel Hill,9/15/20,21
Chapel Hill,10/15/20,20
Chapel Hill,11/15/20,18
Chapel Hill,12/15/20,4
St. Louis,1/15/20,26
St. Louis,2/15/20,32
St. Louis,3/15/20,27
St. Louis,4/15/20,28
St. Louis,5/15/20,29
St. Louis,6/15/20,32
St. Louis,7/15/20,28
St. Louis,8/15/20,29
St. Louis,9/15/20,33
St. Louis,10/15/20,33
St. Louis,11/15/20,32
St. Louis,12/15/20,26
Boston,1/15/20,7
Boston,2/15/20,-5
Boston,3/15/20,4
Boston,4/15/20,8
Boston,5/15/20,16
Boston,6/15/20,18
Boston,7/15/20,21
Boston,8/15/20,21
Boston,9/15/20,16
Boston,10/15/20,18
Boston,11/15/20,8
Boston,12/15/20,-1
West Lafayette,1/15/20,5
West Lafayette,2/15/20,-5
West Lafayette,3/15/20,4
West Lafayette,4/15/20,2
West Lafayette,5/15/20,22
West Lafayette,6/15/20,17
West Lafayette,7/15/20,23
West Lafayette,8/15/20,24
West Lafayette,9/15/20,16
West Lafayette,10/15/20,12
West Lafayette,11/15/20,8
West Lafayette,12/15/20,-1
Columbus,1/15/20,8
Columbus,2/15/20,-4
Columbus,3/15/20,4
Columbus,4/15/20,5
Columbus,5/15/20,22
Columbus,6/15/20,20
Columbus,7/15/20,26
Columbus,8/15/20,24
Columbus,9/15/20,19
Columbus,10/15/20,14
Columbus,11/15/20,11
Columbus,12/15/20,-1
Davis,1/15/20,7
Davis,2/15/20,13
Davis,3/15/20,9
Davis,4/15/20,17
Davis,5/15/20,20
Davis,6/15/20,25
Davis,7/15/20,29
Davis,8/15/20,34
Davis,9/15/20,27
Davis,10/15/20,28
Davis,11/15/20,15
Davis,12/15/20,9
Santa Barbara,1/15/20,12
Santa Barbara,2/15/20,15
Santa Barbara,3/15/20,12
Santa Barbara,4/15/20,19
Santa Barbara,5/15/20,23
Santa Barbara,6/15/20,23
Santa Barbara,7/15/20,22
Santa Barbara,8/15/20,32
Santa Barbara,9/15/20,28
Santa Barbara,10/15/20,27
Santa Barbara,11/15/20,20
Santa Barbara,12/15/20,14
Rochester,1/15/20,3
Rochester,2/15/20,-7
Rochester,3/15/20,-2
Rochester,4/15/20,3
Rochester,5/15/20,16
Rochester,6/15/20,16
Rochester,7/15/20,22
Rochester,8/15/20,22
Rochester,9/15/20,16
